Column1,Column3,Column4,Column5,Column7,Column8,Column11,Column12,Column15,Column20
KCOU,88.1,COLUMBIA,MO,0.43,0.43,38-56-24,92-19-16,16C8,THE PULSE
KLBD,88.1,PREMONT,TX,0.1,0.1,27-17-20,98-07-23,,LIBERTY RADIO
KOFK-FM,88.1,BOZEMAN,MT,0.002,0.5,45-38-20,111-15-56,,
K201CL,88.1,TATITLEK,AK,0.0,0.023,60-52-06,146-40-54,,
KGLL,88.1,GILLETTE,WY,0.0,0.2,44-13-50,105-27-45,,AMERICAN FAMILY RADIO
KUCC,88.1,CLARKSTON,WA,0.46,0.46,46-27-47,116-54-25,21D8,POSITIVE LIFE RADIO
WPRZ-FM,88.1,BRANDY STATION,VA,10.0,10.0,38-30-42,78-03-22,7E17,
KVED,88.1,VERNON,TX,36.0,36.0,34-26-20,99-30-09,,KINGDOM KEYS RADIO
WOLM,88.1,D'IBERVILLE,MS,1.0,1.0,30-26-37,88-50-54,7ACA,RADIO MARIA
WYCE,88.1,WYOMING,MI,10.0,10.0,42-54-43,85-41-00,9440,WORLD OF MUSIC
KVAM,88.1,CHEYENNE,WY,2.2,2.2,41-02-19,104-17-03,,K-ROCKY
WRFL,88.1,LEXINGTON,KY,7.9,7.9,38-02-19,84-30-16,,RADIO FREE LEXINGTON
WFHL,88.1,NEW BEDFORD,MA,0.3,0.3,41-38-15,70-52-19,,LIFE RADIO
K201EC,88.1,MANITOU SPRINGS,CO,0.099,0.099,38-53-10,104-53-26,,THE LIGHT
WESU,88.1,MIDDLETOWN,CT,6.0,6.0,41-33-12,72-39-29,6120,
KMLV,88.1,RALSTON,NE,59.0,59.0,41-18-40,96-01-37,1129,K-LOVE
KVOD,88.1,LAKEWOOD,CO,4.4,4.4,39-43-58,105-14-08,48E3,COLORADO PUBLIC RADIO
K201HW,88.1,EL PASO,TX,0.0,0.09,31-47-48,106-28-57,,MOODY RADIO
KWVA,88.1,EUGENE,OR,1.0,1.0,44-04-55,123-06-34,,KWVA EUGENE
WSLZ,88.1,CAPE VINCENT,NY,2.0,2.0,44-06-58,76-20-21,,NORTH COUNTRY PUBLIC RADIO
WSRC,88.1,WAYNETOWN,IN,17.0,17.0,40-09-00,86-54-14,,
WJJJ,88.1,BECKLEY,WV,0.84,0.84,37-35-24,81-06-54,,THE SWEETEST SOUND IN TOWN
K201FG,88.1,CULBERTSON,MT,0.0,0.075,48-11-57,104-31-30,,CSN INTERNATIONAL
KMPZ,88.1,SALIDA,CO,0.2,0.2,38-26-48,106-00-36,,LOCAL. CLASSICAL. CULTURAL
WTHA,88.1,BERLIN,NJ,0.001,0.08,39-43-41,74-50-39,,RADIO DELAWARE VALLEY
WELH,88.1,PROVIDENCE,RI,4.0,4.0,41-51-27,71-19-06,605D,CUTTING EDGE CLASSICS
KUHU,88.1,MONTICELLO,UT,0.0,0.225,37-50-25,109-27-41,459A,
KGRH,88.1,LOOMIS,SD,0.35,0.0,43-42-05,98-03-47,,GOOD NEWS RADIO
WPTH,88.1,OLNEY,IL,2.9,2.9,38-41-50,88-02-13,,CHRISTIAN INFORMATION RADIO
KRFI,88.1,REDWOOD FALLS,MN,0.36,0.36,44-32-28,95-10-58,,MPR NEWS
WWFJ,88.1,EAST FAYETTEVILLE,NC,2.0,2.0,34-57-38,78-46-11,,OLD PATHS RADIO NETWORK
WWEN,88.1,WENTWORTH,WI,1.8,1.8,46-32-08,92-04-07,8F35,REAL PRESENCE RADIO
KBAP,88.1,BATESVILLE,AR,0.25,0.0,35-47-52,91-40-16,,
KVDM,88.1,HAYS,KS,2.5,2.5,38-57-29,99-21-07,A304 (KMDG),DIVINE MERCY RADIO 88.1
WTZI,88.1,ROSEMONT,IL,0.3,0.3,41-57-20,87-52-02,8966,TRUTH FM
WZBL,88.1,BARNEGAT LIGHT,NJ,0.1,0.1,39-45-03,74-07-11,,HOPE FM
KXEM,88.1,ROUNDUP,MT,3.5,3.5,46-15-03,108-29-01,,YOUR NETWORK OF PRAISE
KLWG,88.1,LOMPOC,CA,2.5,2.5,34-54-36,120-11-14,,
KCFD,88.1,CRAWFORD,NE,0.1,0.1,42-41-06,103-24-52,,VARIETY ROCK 88
KWOU,88.1,WOODWARD,OK,23.5,23.5,36-22-31,99-28-31,4B98 OR 2158 - 'KGOU',YOUR NPR SOURCE
KRTT,88.1,GREAT BEND,KS,0.0,0.9,38-21-46,98-45-50,,DIVINE MERCY RADIO 88.1
WMTQ,88.1,ELMIRA,NY,0.09,0.09,42-06-22,76-52-17,,STATION OF THE CROSS
W201DJ,88.1,DOUGLAS,GA,0.013,0.013,31-32-45,82-53-30,,RADIO BY GRACE
K201IH,88.1,NAPA,CA,0.0,0.01,38-15-51,122-12-54,,CSN INTERNATIONAL
KOYA,88.1,ROSEBUD,SD,0.0,51.0,43-13-01,100-47-28,3768,KOYA RADIO 88.1
WKRE,88.1,ARGO,AL,0.001,1.5,33-41-43,86-31-03,,REVOCATION RADIO
WNEE,88.1,PATTERSON,GA,6.0,6.0,34-00-43,83-17-38,,
WHPR-FM,88.1,HIGHLAND PARK,MI,0.044,0.044,42-24-29,83-05-30,,POWER TALK RADIO
WHRQ,88.1,SANDUSKY,OH,0.38,0.38,41-22-38,82-48-52,68EE,ANNUNCIATION RADIO
KZCK,88.1,COLBY,KS,2.0,2.0,39-21-04,101-03-13,,TRI-STATE PRAISE
K201BW,88.1,LA CRESCENT,MN,0.062,0.062,43-45-28,91-17-24,,CLASSICAL MPR
WGWS,88.1,ST. MARY'S CITY,MD,1.1,1.1,38-08-43,76-22-22,,CSN INTERNATIONAL
K201IJ,88.1,"MIAMI, ETC.",OK,0.205,0.205,36-52-58,94-47-46,34C7,OASIS NETWORK
WYSP,88.1,DUSHORE,PA,0.1,0.1,41-31-33,76-24-35,95EB,
KHTU,88.1,WRAY,CO,0.0,6.0,40-03-30,102-11-22,,THE RANCH
KAKI,88.1,JUNEAU,AK,1.7,1.7,58-18-04,134-26-32,,AIR1
KYTR,88.1,UNION GAP,WA,0.052,0.052,46-37-54,120-32-06,,SACRED HEART RADIO (CATHOLIC)
KXBT,88.1,SOMERVILLE,TX,2.4,2.4,30-23-21,96-35-04,,KUTX 98.9
K201HB,88.1,ABERDEEN,SD,0.0,0.25,45-27-21,98-32-50,,CSN INTERNATIONAL
WBCJ,88.1,SPENCERVILLE,OH,3.1,3.1,40-42-41,84-23-01,5789,FAMILY FRIENDLY - COMMERCIAL FREE
WRSN,88.1,LEBANON,TN,0.185,0.185,36-17-36,86-15-27,,RISEN RADIO
KDGR,88.1,GRAND RAPIDS,MN,5.0,5.0,47-07-29,93-34-31,,
KHJR,88.1,ST. THOMAS,MO,2.5,2.5,38-33-09,92-12-14,,COVENANT NETWORK
KGFJ,88.1,BELT,MT,0.73,0.73,47-09-34,111-00-39,,CSN INTERNATIONAL
WRJA-FM,88.1,SUMTER,SC,98.0,98.0,33-52-52,80-16-14,8276,SOUTH CAROLINA PUBLIC RADIO
WRQV,88.1,RIDGWAY,PA,2.1,2.1,41-14-49,78-38-51,8431,REV FM
K201BI,88.1,CORDOVA,AK,0.023,0.0,60-33-12,145-44-01,,
WHJL,88.1,MERRILL,WI,63.0,63.0,45-21-08,89-39-13,6819,WISCONSIN'S RADIO VOICE OF THE MASTER
K201HM,88.1,LARAMIE,WY,0.099,0.099,41-18-28,105-32-36,----,PILGRIM RADIO
KJVL,88.1,HUTCHINSON,KS,0.57,0.57,38-03-16,97-55-50,,YOU'RE WITH FAMILY
KYRS,88.1,MEDICAL LAKE,WA,6.8,6.8,48-10-50,117-59-11,512C,THIN AIR COMMUNITY RADIO
K201FO,88.1,JENNINGS,LA,0.0,0.25,30-11-30,92-37-17,,CSN INTERNATIONAL
WHRL,88.1,EMPORIA,VA,4.2,4.2,36-41-04,77-33-41,68E9,PUBLIC RADIO FOR EASTERN VIRGINIA
KJKR,88.1,JAMESTOWN,ND,0.0,4.0,46-54-37,98-42-28,,YOUR NETWORK OF PRAISE
KAFM,88.1,GRAND JUNCTION,CO,0.3,0.3,39-04-00,108-44-41,,
WWTG,88.1,CARPENTERSVILLE,IL,0.0,2.0,42-06-21,88-22-38,90B4,LIFE CONNECTION RADIO 88.1
KJDR,88.1,GUYMON,OK,1.0,1.0,36-40-27,101-28-09,,KINGDOM KEYS RADIO
KHPR,88.1,HONOLULU,HI,39.0,39.0,21-20-12,157-49-03,2413,HPR-1
KWAO,88.1,VASHON,WA,65.0,65.0,47-18-46,123-22-20,4A26,AIR1
KQCF,88.1,CHILOQUIN,OR,0.9,0.9,42-16-10,121-56-16,,
WMEK,88.1,KENNEBUNKPORT,ME,18.1,18.1,43-25-05,70-48-02,74CA,WORD RADIO
WUBK,88.1,ENOREE,SC,0.097,0.097,34-37-50,82-01-53,,CLASSIC OLDIES
KQHR,88.1,THE DALLES,OR,2.35,2.35,45-42-43,121-06-53,3B07,ALL CLASSICAL PUBLIC MEDIA
WUWF,88.1,PENSACOLA,FL,100.0,100.0,30-24-14,87-59-34,8BB9,
KMUE,88.1,EUREKA,CA,10.0,10.0,40-43-39,123-58-17,,
KATG,88.1,ELKHART,TX,0.0,80.0,32-02-41,95-40-37,570F - 'WAXR',AMERICAN FAMILY RADIO
WVVC-FM,88.1,DOLGEVILLE,NY,0.001,0.15,43-06-09,74-56-27,,INSPO RADIO
KGRI,88.1,LEBANON,OR,0.16,0.16,44-28-59,122-34-55,,AIR1
WYFY,88.1,CAMBRIDGE,OH,1.5,1.5,40-01-37,81-33-09,,BIBLE BROADCASTING NETWORK
K201AJ,88.1,"SOUTH LAKE TAHOE, ET",CA,0.019,0.019,38-55-00,119-57-48,,THE CLASSICAL STATION
WRJS,88.1,SOPERTON,GA,0.0,12.0,32-21-20,82-37-07,,WINNING OTHERS TO JESUS
KREE,88.1,PIRTLEVILLE,AZ,1.5,1.5,31-20-54,109-28-46,,RADIO BILING
KTQQ,88.1,ELKO,NV,1.0,1.0,40-42-01,115-54-10,,
K201IG,88.1,REXBURG,ID,0.17,0.17,43-47-58,111-46-32,,YOUR EAR TO THE WORLD
KLTU,88.1,MAMMOTH,AZ,16.0,16.0,32-14-56,111-07-01,,K-LOVE
KVJS,88.1,ARROYO,TX,0.0,4.5,26-20-23,97-25-04,,RADIO VISION HISPANA
K201IL,88.1,BRECKENRIDGE,CO,0.125,0.125,39-37-49,106-02-49,,COMMUNITY RADIO
K201FN,88.1,DICKINSON,ND,0.0,0.062,46-55-08,102-43-47,,CSN INTERNATIONAL
WNCH,88.1,NORWICH,VT,1.55,1.55,43-26-15,72-27-08,7737,VPR CLASSICAL
WAYT,88.1,THOMASVILLE,GA,17.0,17.0,30-40-06,83-58-10,572B,WAY FM
KHPR-FM1,88.1,MAKAHA,HI,4.0,4.0,21-30-49,158-08-54,,HPR-2
K201FJ,88.1,WILLISTON,ND,0.0,0.062,48-06-38,103-26-37,,CSN INTERNATIONAL
KRTM,88.1,BANNING,CA,0.15,0.114,34-02-16,116-48-48,3EDE,
K201EY,88.1,KALISPELL,MT,0.0,0.034,48-10-34,114-20-57,,CSN INTERNATIONAL
KLWL,88.1,CHILLICOTHE,MO,0.8,0.8,39-48-54,93-35-18,,CSN INTERNATIONAL
WMUL,88.1,HUNTINGTON,WV,1.4,1.4,38-25-26,82-25-43,,THE CUTTING EDGE
KOIA,88.1,STORM LAKE,IA,6.0,6.0,42-40-06,94-59-35,0000,CATHOLIC RADIO 88.1
W201DD,88.1,CENTRAL CITY,KY,0.027,0.027,37-17-30,87-06-30,,WAY FM
KQTO,88.1,HURLEY,NM,2.0,0.0,32-51-43,108-14-28,,RADIO BILINGUE
K201IP,88.1,STERLING,CO,0.075,0.075,40-31-57,103-07-22,,CSN INTERNATIONAL
WLHV,88.1,ANNANDALE-ON-HUDSON,NY,0.0,0.91,42-05-55,73-43-50,,ROBIN HOOD RADIO
KDUP,88.1,CEDARVILLE,CA,0.27,0.27,41-38-13,120-05-32,,KDUP 88.1 FM
WGWR,88.1,LIBERTY,NY,0.35,0.35,41-48-04,74-47-05,66CD,SOUND OF LIFE
WNAP-FM,88.1,MORRISTOWN,IN,6.3,6.3,39-42-22,85-29-41,770B,THE BUZZARD
K201IN,88.1,HAMILTON,MT,0.0,0.25,46-16-08,114-10-32,,CSN INTERNATIONAL
WSQN,88.1,GREENE,NY,0.0,4.5,42-26-13,75-30-50,,CLASSICAL 24
WXTC,88.1,GREENVILLE,PA,1.6,0.0,41-24-51,80-22-50,,WQED CHANGES LIVES
KCWU,88.1,ELLENSBURG,WA,0.43,0.43,47-00-10,120-32-13,1798,88.1 FM THE BURG
KNSQ,88.1,MOUNT SHASTA,CA,1.2,1.2,41-13-19,122-18-27,,JEFFERSON PUBLIC RADIO
KQOC,88.1,GLENEDEN BEACH,OR,6.5,6.5,44-45-23,124-02-52,3BAE,ALL CLASSICAL PUBLIC RADIO
K201FV,88.1,TRUCKEE,CA,0.0,0.065,39-19-34,120-11-55,,
KPFZ-FM,88.1,LAKEPORT,CA,0.0,0.3,38-59-23,122-46-05,,DIVERSITY 88.1
WMEY,88.1,BOWDOIN,ME,0.1,50.0,44-06-28,69-55-29,74D8,REACH FM
WOPR,88.1,MADISON,NC,0.14,0.14,36-26-06,79-55-42,,OLD PATHS RADIO NETWORK
WYTR,88.1,ROBBINS,NC,4.7,4.7,35-33-35,79-41-03,9607,YOUR TRUTH RADIO 88.1
WIHM-FM,88.1,HARRISBURG,IL,4.8,4.8,37-43-03,88-32-37,,COVENANT NETWORK
KWTF,88.1,BODEGA BAY,CA,0.1,0.1,38-21-39,122-59-31,,KWTF RADIO
WAJC,88.1,NEWPORT,MN,5.52,5.52,44-43-15,93-01-55,,REAL LIFE RADIO
K201HZ,88.1,TULIA,TX,0.25,0.25,34-32-45,101-44-59,,RADIO BY GRACE
W201DO,88.1,MILFORD,PA,0.055,0.055,41-20-10,74-47-45,,
K201DH,88.1,PENDLETON,OR,0.0,0.25,45-41-42,118-50-24,,CSN INTERNATIONAL
KWGP,88.1,PAMPA,TX,0.33,0.33,35-34-39,100-57-10,,
KOGJ,88.1,KENAI,AK,0.0,2.5,60-31-19,151-04-24,,CSN INTERNATIONAL
WUBA-FM,88.1,HIGH SPRINGS,FL,0.11,0.0,29-48-33,82-36-26,,
WAIT,88.1,CLARKSDALE,MS,0.3,0.3,34-12-07,90-34-28,,
W201DQ,88.1,UTICA,NY,0.01,0.01,43-02-15,75-11-45,,INSPO RADIO
K201IX,88.1,GRAND RAPIDS,MN,0.25,0.25,47-13-06,93-32-51,,LIFE-FM 97.3
KENE,88.1,EAGLE TAIL,NM,1.25,1.25,36-40-59,104-24-50,1BE6,KENW NPR NEW MEXICO
W201DM,88.1,WOODSTOCK,GA,0.009,0.009,34-03-59,84-27-14,,CSN INTERNATIONAL
K201IS,88.1,OCEANSIDE,CA,0.0,0.01,33-18-29,116-50-57,,CSN INTERNATIONAL
KQMD,88.1,QUEMADO,TX,1.0,1.0,28-53-10,100-34-20,,
NEW,88.1,TIBERNA,UT,0.5,0.5,40-15-17,110-35-19,,
WQWA-LP,88.1,COLUMBUS,WI,0.1,0.0,43-22-14,89-03-12,,
NEW,88.1,HARLAN,KY,3.0,3.0,36-48-05,83-22-37,,
DKDDF,88.1,MECCA,CA,0.185,0.185,33-32-22,116-01-31,,EL SEMBRADOR RADIO
WTSQ-LP,88.1,CHARLESTON,WV,0.1,0.0,38-20-54,81-38-15,,
WDSW-LP,88.1,CLEVELAND,MS,0.1,0.0,33-44-40,90-44-08,,
KLCM,88.1,ULYSSES,KS,0.3,0.3,37-35-30,101-21-18,,RADIO LIBERTAD
KFPS,88.1,FALSE PASS,AK,0.09,0.09,54-51-21,163-24-51,,
WFGU-LP,88.1,WINCHESTER,OH,0.095,0.0,38-59-00,83-37-34,,
KRBP,88.1,PRESIDIO,TX,0.5,0.5,29-34-15,104-21-45,,RADIO BILINGUE
NEW,88.1,CLAM TOWNSHIP,MI,0.01,0.01,44-14-56,85-18-48,,
KKQA,88.1,AKUTAN,AK,0.09,0.0,54-08-06,165-42-22,,
KJCA,88.1,MARSHALL,MN,0.26,0.26,44-28-12,95-46-25,,
NEW,88.1,NANTUCKET,MA,0.35,0.35,41-17-06,70-08-23,,
WVFR,88.1,GILMAN,IL,0.34,0.34,40-46-56,87-55-49,,
KEJS,88.1,SARGENT,NE,1.2,1.2,41-29-54,99-25-16,,
WTRL,88.1,HODGENVILLE,KY,0.75,0.75,37-28-55,85-41-17,,
KPJM,88.1,PAYSON,AZ,0.1,0.1,34-17-16,111-11-36,,
WEKM-FM,88.1,MAYSVILLE,KY,2.95,2.95,38-41-15,83-48-47,,
KLHE,88.1,HILO,HI,1.6,1.6,19-43-45,155-01-22,,
WCSW,88.1,ARROWSMITH,IL,1.5,1.5,40-28-38,88-33-14,,
KENP,88.1,LAS VEGAS,NM,0.7,0.7,35-36-13,105-15-32,,
WIID,88.1,RODANTHE,NC,0.5,0.5,35-35-05,75-27-43,,
KKWY,88.1,WHEATLAND,WY,6.2,0.0,42-00-58,105-00-10,,
WFCP,88.1,PINE GROVE,PA,0.025,0.2,40-30-24,76-22-36,,
NEW,88.1,MEW MARKET EKLO,MN,0.1,0.1,44-34-90,93-24-34,,
KFLK,88.1,MINOT,ND,100.0,100.0,48-12-56,101-19-07,0000,
KAVA,88.1,KIMBALL,NE,0.85,0.85,41-15-08,103-39-51,,
KFCA,88.1,ABERDEEN,SD,0.8,0.8,45-25-26,98-31-02,,
NEW,88.1,ST. MARY,MT,0.75,0.75,48-40-08,113-23-11,,
KJAR,88.1,LARAMIE,WY,0.86,0.86,41-07-59,105-32-56,,
WSBR,88.1,LEE,MA,0.01,0.4,42-17-55,73-17-26,,
NEW,88.1,DETROIT LAKES,MN,0.25,0.25,46-49-23,95-49-45,,
WJIG,88.1,BRUCETON,TN,6.0,6.0,36-03-15,88-12-02,,
WAEI,88.1,WILMINGTON,IL,0.35,0.35,41-19-21,83-06-34,,
KTFZ,88.1,THOMPSON FALLS,MT,0.545,0.545,47-32-27,115-19-05,,MONTANA PUBLIC RADIO
WRGO,88.1,GENEVA,OH,0.11,0.11,41-48-22,80-56-45,,
KCVH,88.1,HERMITAGE,MO,9.0,9.0,38-01-49,93-13-43,,BOTT RADIO NETWORK
KCGS-FM,88.1,MARSHALL,AR,0.38,0.38,36-54-05,92-36-58,,FAMILY HOPE RADIO
KBAD-FM,88.1,ANAHOLA,HI,3.3,3.3,22-10-57,159-19-59,,
KRGA,88.1,TUCUMCARI,NM,1.0,1.0,35-08-09,103-41-58,,
KYHA,88.1,CLOVIS,NM,1.0,1.0,34-26-20,103-12-40,,
KRGJ,88.1,FIDELITY,MO,1.25,1.25,37-04-40,94-08-03,,RADIO BY GRACE
NEW,88.1,QUAPAW,OK,0.1,0.1,36-54-36,94-45-13,,
KYML,88.1,MOUNT LAGUNA,CA,0.018,0.018,32-53-31,116-25-11,,
KNHO,88.1,ROSWELL,NM,5.0,5.0,33-23-36,104-37-29,,
KLHM,88.1,LUCERNE VALLEY,CA,0.75,0.75,34-24-12,116-57-47,,
NEW,88.1,BELMONT,NY,5.0,5.0,42-02-30,78-00-25,,
KMYQ,88.1,CALIENTE,NV,6.0,6.0,37-36-03,114-30-35,,NEVADA PUBLIC RADIO
KHYB,88.1,HAYTI,MO,27.5,27.5,36-29-55,89-51-16,,CROSSROADS RADIO
NEW,88.1,DEWEY-HUMBOLDT,AZ,3.3,3.3,34-29-19,112-32-18,,
WYJL,88.1,GRENADA,MS,5.0,5.0,33-58-56,89-40-52,,
WGML,88.1,VANCEBORO,NC,7.0,7.0,35-29-15,77-02-41,,GOMIX EARLY LIGHT
NEW,88.1,CARRIZO SPRINGS,TX,33.0,33.0,28-38-42,99-50-49,,
NEW,88.1,CROWDER,MS,50.0,50.0,34-10-23,90-07-50,,
KFGL,88.1,BUTTE,MT,0.0,5.0,45-57-03,112-30-42,,
NEW,88.1,HOOKS,TX,31.0,31.0,33-28-41,94-17-06,,
KVZN,88.1,BANDON,OR,0.47,0.47,42-57-31,124-16-27,,
KCCJ,88.1,DALHART,TX,1.0,1.0,36-06-35,102-30-33,,
WYSB,88.1,NEVADA,OH,2.0,2.0,40-50-31,83-07-20,,
NEW,88.1,WEEKI WACHEE,FL,0.54,0.54,28-34-56,82-31-44,,
KJYS,88.1,MCCOOK,NE,0.5,0.5,40-12-46,100-39-09,,
NEW,88.1,WELLS,MI,3.0,3.0,45-46-47,87-08-26,,
KGPL,88.1,CROOKSTON,MN,0.25,0.25,47-46-57,96-35-26,,
NEW,88.1,WEEKI-WACHEE,FL,20.0,20.0,28-37-19,82-33-01,,
WXTS-FM,88.3,TOLEDO,OH,0.105,0.105,41-40-07,83-33-15,,JAZZ 88-3
WIUS,88.3,MACOMB,IL,0.22,0.22,40-27-56,90-41-09,,88.3 THE DOG
WSBU,88.3,ST. BONAVENTURE,NY,0.165,0.0,42-04-45,78-29-07,,88.3 THE BUZZ
K202AF,88.3,"RANDOLPH, ETC.",UT,0.02,0.0,41-37-31,111-07-23,,
K202AD,88.3,"ORANGEVILLE, ETC.",UT,0.0,0.019,39-13-40,111-08-46,,
KVCO,88.3,CONCORDIA,KS,0.125,0.125,39-33-17,97-39-48,,THE THUNDER BEHIND THE CLOUD
WZRD,88.3,CHICAGO,IL,0.1,0.1,41-58-56,87-43-07,,88.3 THE WIZARD
WNFA,88.3,PORT HURON,MI,1.3,1.3,42-59-36,82-28-06,,THRIVE RADIO
KESD,88.3,BROOKINGS,SD,50.0,50.0,44-20-10,97-13-41,1C67,SOUTH DAKOTA PUBLIC BROADCASTING
WCBN-FM,88.3,ANN ARBOR,MI,1.4,1.4,42-17-48,83-41-54,,
K202AT,88.3,ASPEN,CO,0.009,0.047,39-13-16,106-48-47,,KDNK 88.1 COMMUNITY RADIO
WLSF-FM,88.3,STARKE,FL,7.0,7.0,29-54-34,82-06-02,738D,K-LOVE
KJRN,88.3,KEENE,TX,9.4,9.4,32-24-20,97-19-54,298B,88.3 THE JOURNEY
WUAW,88.3,ERWIN,NC,3.0,3.0,35-20-15,78-39-49,,
KABF,88.3,LITTLE ROCK,AR,91.0,91.0,34-47-31,92-28-38,1ED0,KABF 88.3
WWEC,88.3,ELIZABETHTOWN,PA,0.1,0.1,40-08-53,76-35-38,,THE SOUND OF ELIZABETHTOWN
WXUT,88.3,TOLEDO,OH,0.1,0.0,41-39-26,83-36-57,,TOLEDO'S ONLY ALTERNATIVE
K202BP,88.3,"BELLAIRE, ETC.",KS,0.078,0.0,39-48-05,98-40-25,,PRAISE RADIO FOR MIDWEST KANSAS
WXAV,88.3,CHICAGO,IL,0.25,0.25,41-42-38,87-42-55,9179,THE ESCAPE FROM ORDINARY RADIO
KVCP-FM,88.3,PHOENIX,AZ,25.0,100.0,33-35-47,112-05-31,325C,CHRISTIAN INFORMATION RADIO
WSGR,88.3,PORTSMOUTH,OH,1.7,1.7,38-45-42,83-03-41,,ST. GABRIEL RADIO
K202AB,88.3,WEST GLENWOOD SPRINGS,CO,0.0,0.099,39-33-44,107-19-01,----,KDNK 88.1 COMMUNITY RADIO
K202BT,88.3,WHITTIER,AK,0.0,0.05,60-46-39,148-41-12,,
K202EM,88.3,BISBEE-DOUGLAS,AZ,0.07,0.07,31-28-21,109-57-14,,NPR 89.1
WAFJ,88.3,BELVEDERE,SC,4.5,4.5,33-24-29,81-50-36,5533,THE JOY FM NETWORK
WRCT,88.3,PITTSBURGH,PA,1.75,1.75,40-26-39,79-56-37,,
KJRT,88.3,AMARILLO,TX,60.0,0.0,35-06-50,101-49-18,,
KAXL,88.3,GREENACRES,CA,21.0,21.0,35-24-55,119-14-01,1261,LIFE FM
K202EK,88.3,YUMA,CO,0.113,0.113,40-08-35,102-48-51,,COMMUNITY RADIO
WLIW-FM,88.3,SOUTHAMPTON,NY,29.0,29.0,40-53-18,72-26-43,729A,88.3 WLIW FM
WGAO,88.3,FRANKLIN,MA,0.175,0.175,42-05-08,71-23-54,648E,POWER 88
WAER,88.3,SYRACUSE,NY,50.0,50.0,43-02-01,76-07-53,5521,WAER 88.3 FM
WIQH,88.3,CONCORD,MA,0.1,0.1,42-26-49,71-20-54,,WIQH 88.3
WLXK,88.3,BOILING SPRINGS,NC,50.0,50.0,35-13-52,81-42-57,7414,K-LOVE
KSRG,88.3,ASHLAND,OR,0.23,0.23,42-17-52,122-44-58,,JEFFERSON PUBLIC RADIO
WXOU,88.3,AUBURN HILLS,MI,0.11,0.11,42-42-35,83-13-50,,WXOU 88.3 FM
WLPT,88.3,JESUP,GA,20.0,20.0,31-40-27,81-53-12,734D,GOOD NEWS NETWORK
WAPR,88.3,SELMA,AL,0.0,53.0,32-08-30,86-44-43,563F,ALABAMA PUBLIC RADIO
WCQR-FM,88.3,KINGSPORT,TN,1.2,1.2,36-25-53,82-08-16,5BA1,FAITH-FAMILY-FUN
WCXK,88.3,KALAMAZOO,MI,0.0,10.0,42-18-23,85-39-25,5C50,FAMILY FRIENDLY 91.3 WCSG
KMLW,88.3,MOSES LAKE,WA,4.0,4.0,46-56-31,119-25-41,2FD2,MOODY RADIO
WFEN,88.3,ROCKFORD,IL,1.0,8.5,42-21-48,89-08-06,6251,THE LIGHTHOUSE
W202AZ,88.3,FRANKFORT,KY,0.038,0.038,38-12-45,84-53-07,,BIBLE BROADCASTING NETWORK
K202AW,88.3,CEDAR CITY,UT,0.009,0.009,37-38-18,113-01-52,,NPR UTAH
W202CI,88.3,RICHVILLE,NY,0.04,0.04,44-20-42,75-29-14,,MARS HILL NETWORK
W202BG,88.3,DYERSBURG,TN,0.019,0.019,36-02-43,89-24-32,,BIBLE BROADCASTING NETWORK
WHWC,88.3,MENOMONIE,WI,70.0,70.0,45-02-49,91-51-47,6962,IDEAS NETWORK
WAUI,88.3,SHELBY,OH,0.0,0.9,40-53-14,82-38-51,56B8,AMERICAN FAMILY RADIO
KPRH,88.3,MONTROSE,CO,3.5,3.5,38-23-14,107-40-28,,COLORADO PUBLIC RADIO
WRUO,88.3,MAYAGUEZ,PR,2.0,2.0,18-19-31,67-10-13,,RADIO UNIVERSIDAD
K202CJ,88.3,DESHLER,NE,0.25,0.25,40-05-17,97-42-26,,MY BRIDGE RADIO
KLVC,88.3,MAGALIA,CA,5.7,5.7,39-57-40,121-42-43,,K-LOVE
WJLY,88.3,RAMSEY,IL,25.0,25.0,39-08-06,89-06-02,,
KBNR,88.3,BROWNSVILLE,TX,5.5,5.5,25-55-10,97-31-44,1407,RADIO MANANTIAL
WBIA,88.3,SHELBYVILLE,TN,0.25,0.25,35-28-54,86-27-28,,AMERICAN FAMILY RADIO
WDGC-FM,88.3,DOWNERS GROVE,IL,0.25,0.0,41-48-16,88-00-44,,
KCCK-FM,88.3,CEDAR RAPIDS,IA,10.0,10.0,41-54-33,91-39-17,1586,KCCK JAZZ 88.3
WMRT,88.3,MARIETTA,OH,9.2,9.2,39-25-08,81-26-33,7625,
WAWH,88.3,DUBLIN,GA,0.4,0.4,32-32-27,82-57-27,,AMERICAN FAMILY RADIO
K202CK,88.3,CHILDRESS,TX,0.2,0.0,34-26-20,100-13-10,,
KXUA,88.3,FAYETTEVILLE,AR,0.0,0.47,36-03-56,94-10-30,1176,KXUA 88.3 FM
WAWF,88.3,KANKAKEE,IL,1.25,1.25,41-04-39,87-45-22,,THE SONLIFE RADIO NETWORK
K202DA,88.3,FORT JONES,CA,0.013,0.013,41-35-45,122-52-33,,
W202BS,88.3,COLUMBIA,MS,0.013,0.013,31-15-50,89-55-47,,THE SONLIFE RADIO NETWORK
KUUB,88.3,SALT LAKE CITY,UT,2.1,2.1,40-37-53,112-07-53,,
W202BR,88.3,ROCKINGHAM,NC,0.01,0.01,34-57-40,79-50-29,,THE SONLIFE RADIO NETWORK
